order,name,type,isnumeric,format,vallab,varlab
1,geoid,str20,0,%20s,,Id
2,geoid2,str11,0,%11s,,Id2
3,geodisplaylabel,str55,0,%55s,,Geography
4,hc01_est_vc01,str33,0,%33s,,Total; Estimate; Total population
5,hc01_moe_vc01,str40,0,%40s,,Total; Margin of Error; Total population
6,hc02_est_vc01,str62,0,%62s,,Native; born in state of residence; Estimate; Total population
7,hc02_moe_vc01,str69,0,%69s,,Native; born in state of residence; Margin of Error; Total population
8,hc03_est_vc01,str67,0,%67s,,Native; born in other state in the U.S.; Estimate; Total population
9,hc03_moe_vc01,str74,0,%74s,,Native; born in other state in the U.S.; Margin of Error; Total population
10,hc04_est_vc01,str53,0,%53s,,Native; born outside U.S.; Estimate; Total population
11,hc04_moe_vc01,str60,0,%60s,,Native; born outside U.S.; Margin of Error; Total population
12,hc01_est_vc03,str36,0,%36s,,Total; Estimate; AGE - Under 5 years
13,hc01_moe_vc03,str43,0,%43s,,Total; Margin of Error; AGE - Under 5 years
14,hc02_est_vc03,str65,0,%65s,,Native; born in state of residence; Estimate; AGE - Under 5 years
15,hc02_moe_vc03,str72,0,%72s,,Native; born in state of residence; Margin of Error; AGE - Under 5 years
16,hc03_est_vc03,str70,0,%70s,,Native; born in other state in the U.S.; Estimate; AGE - Under 5 years
17,hc03_moe_vc03,str77,0,%77s,,Native; born in other state in the U.S.; Margin of Error; AGE - Under 5 years
18,hc04_est_vc03,str56,0,%56s,,Native; born outside U.S.; Estimate; AGE - Under 5 years
19,hc04_moe_vc03,str63,0,%63s,,Native; born outside U.S.; Margin of Error; AGE - Under 5 years
20,hc01_est_vc04,str36,0,%36s,,Total; Estimate; AGE - 5 to 17 years
21,hc01_moe_vc04,str43,0,%43s,,Total; Margin of Error; AGE - 5 to 17 years
22,hc02_est_vc04,str65,0,%65s,,Native; born in state of residence; Estimate; AGE - 5 to 17 years
23,hc02_moe_vc04,str72,0,%72s,,Native; born in state of residence; Margin of Error; AGE - 5 to 17 years
24,hc03_est_vc04,str70,0,%70s,,Native; born in other state in the U.S.; Estimate; AGE - 5 to 17 years
25,hc03_moe_vc04,str77,0,%77s,,Native; born in other state in the U.S.; Margin of Error; AGE - 5 to 17 years
26,hc04_est_vc04,str56,0,%56s,,Native; born outside U.S.; Estimate; AGE - 5 to 17 years
27,hc04_moe_vc04,str63,0,%63s,,Native; born outside U.S.; Margin of Error; AGE - 5 to 17 years
28,hc01_est_vc05,str37,0,%37s,,Total; Estimate; AGE - 18 to 24 years
29,hc01_moe_vc05,str44,0,%44s,,Total; Margin of Error; AGE - 18 to 24 years
30,hc02_est_vc05,str66,0,%66s,,Native; born in state of residence; Estimate; AGE - 18 to 24 years
31,hc02_moe_vc05,str73,0,%73s,,Native; born in state of residence; Margin of Error; AGE - 18 to 24 years
32,hc03_est_vc05,str71,0,%71s,,Native; born in other state in the U.S.; Estimate; AGE - 18 to 24 years
33,hc03_moe_vc05,strL,0,%9s,,Native; born in other state in the U.S.; Margin of Error; AGE - 18 to 24 years
34,hc04_est_vc05,str57,0,%57s,,Native; born outside U.S.; Estimate; AGE - 18 to 24 years
