="Regressing Enrollment on DK VA, Heterogeneity by Prior ela score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.001***",="-0.001**",="-0.000",="-0.000",="-0.000",="-0.000",="0.005***",="0.005***",="0.006***",="0.007***",="0.007***",="0.007***",="-0.006***",="-0.006***",="-0.007***",="-0.007***",="-0.007***",="-0.007***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.002***",="-0.002***",="-0.002***",="-0.002**",="-0.002***",="-0.002**",="0.006***",="0.006***",="0.007***",="0.007***",="0.007***",="0.007***",="-0.008***",="-0.008***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.004***",="-0.005***",="-0.005***",="-0.005***",="-0.005***",="-0.006***",="0.003***",="0.002***",="0.005***",="0.005***",="0.005***",="0.005***",="-0.007***",="-0.007***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score",="0.069***",="0.073***",="0.067***",="0.069***",="0.067***",="0.069***",="-0.072***",="-0.070***",="-0.074***",="-0.074***",="-0.075***",="-0.074***",="0.141***",="0.143***",="0.141***",="0.143***",="0.141***",="0.143***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_math_z_score",="0.066***",="0.070***",="0.065***",="0.069***",="0.066***",="0.069***",="-0.069***",="-0.068***",="-0.073***",="-0.072***",="-0.074***",="-0.072***",="0.135***",="0.137***",="0.139***",="0.140***",="0.139***",="0.141***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year#c.prior_math_z_score",="0.062***",="0.065***",="0.057***",="0.059***",="0.057***",="0.059***",="-0.069***",="-0.068***",="-0.075***",="-0.075***",="-0.076***",="-0.076***",="0.130***",="0.133***",="0.133***",="0.135***",="0.133***",="0.135***"
